address,adm_district,city_district,lattitude,longitude
"город Москва, улица Талалихина, дом 2/1, корпус 1",Центральный,Таганский,55.7382978,37.6733369
"город Москва, Абельмановская улица, дом 6",Центральный,Таганский,55.7355279,37.6695159
"город Москва, улица Авиаторов, дом 14",Западный,Солнцево,55.6453166,37.3980907
"город Москва, улица Авиаторов, дом 16",Западный,Солнцево,55.6452481,37.3994615
"город Москва, улица Авиаторов, дом 18",Западный,Солнцево,55.6445907,37.4000561
"город Москва, Азовская улица, дом 3",Юго-западный,Зюзино,55.6623965,37.605708
"город Москва, Азовская улица, дом 4",Юго-западный,Зюзино,55.6604627,37.6020384
"город Москва, проспект Андропова, дом 17, корпус 2",Южный,Нагатинский Затон,55.683317,37.6681513
"город Москва, проспект Андропова, дом 26",Южный,Нагатино-Садовники,55.680798,37.6628214
"город Москва, проспект Андропова, дом 30",Южный,Нагатино-Садовники,55.6791138,37.6624594
"город Москва, проспект Андропова, дом 35А",Южный,Нагатинский Затон,55.6734895,37.6648106
"город Москва, проспект Андропова, дом 38, корпус 2",Южный,Нагатино-Садовники,55.674395,37.6596995
"город Москва, улица Артамонова, дом 7",Западный,Фили-Давыдково,55.7191556,37.4593161
"город Москва, улица Ивана Бабушкина, дом 15, корпус 1-2",Юго-западный,Академический,55.6849724,37.5622742
"город Москва, улица Ивана Бабушкина, дом 17, корпус 1",Юго-западный,Академический,55.6846697,37.5612921
"город Москва, Бакинская улица, дом 29",Южный,Царицыно,55.6181342,37.6608107
"город Москва, Балаклавский проспект, дом 48, корпус 1",Юго-западный,Зюзино,55.6484944,37.5711691
"город Москва, Балаклавский проспект, дом 54",Юго-западный,Зюзино,55.6496649,37.5674585
"город Москва, Татарская улица, дом 14",Центральный,Замоскворечье,55.7336112,37.6378485
"город Москва, Белореченская улица, дом 13, корпус 1",Юго-восточный,Люблино,55.6733406,37.7671652
"город Москва, Белореченская улица, дом 17",Юго-восточный,Люблино,55.6725767,37.767105
"город Москва, Бережковская набережная, дом 8",Западный,Дорогомилово,55.7395247,37.5662319
"город Москва, Бережковская набережная, дом 14",Западный,Дорогомилово,55.7371565,37.5632944
"город Москва, Болотниковская улица, дом 47, корпус 1",Юго-западный,Зюзино,55.6617075,37.5831835
"город Москва, Коктебельская улица, дом 11, строение 3",Юго-западный,Северное Бутово,55.5637825,37.585041
"город Москва, Булатниковская улица, дом 5, корпус 4",Южный,Бирюлево Западное,55.5789865,37.6510052
"город Москва, улица Бутлерова, дом 22",Юго-западный,Коньково,55.649242,37.5348673
"город Москва, улица Вавилова, дом 72/13",Юго-западный,Гагаринский,55.6814799,37.5477221
"город Москва, улица Вавилова, дом 81",Юго-западный,Ломоносовский,55.6808922,37.5483341
"город Москва, Нахимовский проспект, владение 75А",Юго-западный,Ломоносовский,55.6835026,37.5527533
"город Москва, Валовая улица, дом 2-4/44, строение 1",Центральный,Замоскворечье,55.7312241,37.6348988
"город Москва, Валовая улица, дом 6",Центральный,Замоскворечье,55.7311277,37.6338902
"город Москва, Валовая улица, дом 8/18",Центральный,Замоскворечье,55.7308771,37.6314957
"город Москва, Валовая улица, дом 11/19",Центральный,Замоскворечье,55.7302601,37.6323703
"город Москва, Варшавское шоссе, дом 2",Южный,Донской,55.699943,37.619683
"город Москва, Варшавское шоссе, дом 7, корпус 1",Южный,Донской,55.700877,37.622405
"город Москва, Варшавское шоссе, дом 29",Южный,Донской,55.693226,37.622432
"город Москва, Варшавское шоссе, дом 72, корпус 2",Южный,Нагорный,55.656869,37.618758
"город Москва, Варшавское шоссе, дом 100",Южный,Нагорный,55.646061,37.618902
"город Москва, Варшавское шоссе, дом 143А",Южный,Чертаново Южное,55.583953,37.599148
"город Москва, Велозаводская улица, дом 6",Южный,Даниловский,55.7123511,37.664951
"город Москва, Велозаводская улица, дом 6",Южный,Даниловский,55.7123511,37.664951
"город Москва, проспект Вернадского, дом 9/10",Юго-западный,Гагаринский,55.6894912,37.5314479
"город Москва, проспект Вернадского, дом 11/19",Юго-западный,Ломоносовский,55.688741,37.5287928
"город Москва, проспект Вернадского, дом 11/19",Юго-западный,Ломоносовский,55.688741,37.5287928
"город Москва, проспект Вернадского, дом 11/19",Юго-западный,Ломоносовский,55.688741,37.5287928
"город Москва, проспект Вернадского, дом 11/19",Юго-западный,Ломоносовский,55.688741,37.5287928
"город Москва, проспект Вернадского, дом 13",Юго-западный,Ломоносовский,55.6876027,37.5277584
"город Москва, улица Кравченко, дом 24/35",Юго-западный,Ломоносовский,55.6800451,37.5135241
"город Москва, проспект Вернадского, дом 37",Западный,Проспект Вернадского,55.6783296,37.5117673
"город Москва, проспект Вернадского, дом 86, строение 1",Западный,Тропарево-Никулино,55.6604384,37.4745984
"город Москва, проспект Вернадского, дом 93",Западный,Тропарево-Никулино,55.6671781,37.4951448
"город Москва, проспект Вернадского, дом 97, корпус 1",Западный,Тропарево-Никулино,55.6671211,37.491379
"город Москва, проспект Вернадского, дом 97, корпус 1",Западный,Тропарево-Никулино,55.6671211,37.491379
"город Москва, проспект Вернадского, дом 103, корпус 1",Западный,Тропарево-Никулино,55.6633678,37.4927574
"город Москва, проспект Вернадского, дом 125",Западный,Тропарево-Никулино,55.6555236,37.482072
"город Москва, Вешняковская улица, дом 2",Восточный,Вешняки,55.7376943,37.8205032
"город Москва, Вешняковская улица, дом 2",Восточный,Вешняки,55.7376943,37.8205032
"город Москва, улица Архитектора Власова, дом 11, корпус 1",Юго-западный,Черемушки,55.6786387,37.5527225
"город Москва, улица Архитектора Власова, дом 47",Юго-западный,Обручевский,55.666519,37.5437582
"город Москва, улица Академика Волгина, дом 6",Юго-западный,Обручевский,55.6535087,37.5181389
"город Москва, улица Академика Волгина, дом 29, корпус 1",Юго-западный,Коньково,55.6436074,37.5079385
"город Москва, Волгоградский проспект, дом 4",Центральный,Таганский,55.7307845,37.6699793
"город Москва, Волгоградский проспект, дом 15",Центральный,Таганский,55.7294781,37.6775343
"город Москва, Волгоградский проспект, дом 17, строение 1",Центральный,Таганский,55.728951,37.6800311
"город Москва, Волгоградский проспект, дом 17, строение 1",Центральный,Таганский,55.728951,37.6800311
"город Москва, Волгоградский проспект, дом 17",Центральный,Таганский,55.7286558,37.6791571
"город Москва, Волгоградский проспект, дом 17",Центральный,Таганский,55.7286558,37.6791571
"город Москва, Волгоградский проспект, дом 66, корпус 4",Юго-восточный,Кузьминки,55.7045383,37.756902
"город Москва, Волгоградский проспект, дом 103, корпус 6",Юго-восточный,Кузьминки,55.7095982,37.7570954
"город Москва, Волгоградский проспект, дом 157, корпус 4",Юго-восточный,Кузьминки,55.7054383,37.7871974
"город Москва, Ферганская улица, дом 12",Юго-восточный,Выхино-Жулебино,55.7079682,37.8087692
"город Москва, Воронежская улица, дом 26, корпус 4",Южный,Орехово-Борисово Южное,55.6083353,37.7369197
"город Москва, Воронцовская улица, дом 13/14, строение 3",Центральный,Таганский,55.7396385,37.6577209
"город Москва, Воронцовская улица, дом 36, строение 1",Центральный,Таганский,55.7343372,37.6615082
"город Москва, Воронцовская улица, дом 48",Центральный,Таганский,55.7326151,37.6637271
"город Москва, Воронцовская улица, дом 48",Центральный,Таганский,55.7326151,37.6637271
"город Москва, Воронцовская улица, дом 48",Центральный,Таганский,55.7326151,37.6637271
"город Москва, Гвардейская улица, дом 15, корпус 1",Западный,Можайский,55.7248734,37.4232738
"город Москва, улица Маршала Голованова, дом 19",Юго-восточный,Марьино,55.6439933,37.7308776
"город Москва, Кутузовский проспект, дом 71",Западный,Фили-Давыдково,55.7237927,37.4520036
"город Москва, Гурьевский проезд, дом 25, корпус 1",Южный,Орехово-Борисово Южное,55.6080432,37.7548965
"город Москва, Гурьевский проезд, дом 31, корпус 1",Южный,Орехово-Борисово Южное,55.6093345,37.7582183
"город Москва, улица 26-ти Бакинских Комиссаров, дом 7, корпус 6",Западный,Тропарево-Никулино,55.6554993,37.4847571
"город Москва, улица Мусы Джалиля, дом 4, корпус 6",Южный,Зябликово,55.6287015,37.740627
"город Москва, улица Большая Якиманка, дом 19",Центральный,Якиманка,55.7373576,37.6155738
"город Москва, улица Большая Якиманка, дом 32",Центральный,Якиманка,55.7350644,37.6124615
"город Москва, улица Большая Якиманка, дом 32",Центральный,Якиманка,55.7350644,37.6124615
"город Москва, улица Большая Якиманка, дом 32",Центральный,Якиманка,55.7350644,37.6124615
"город Москва, улица Большая Якиманка, дом 52",Центральный,Якиманка,55.7317793,37.6115177
"город Москва, улица Большая Якиманка, дом 54",Центральный,Якиманка,55.7314094,37.6115514
