Age,Weight,CAEC,FAF,MTRANS
19,53.8,Always,2,Public_Transportation
24,51.0,Frequently,2,Public_Transportation
30,78.0,Sometimes,0,Public_Transportation
23,106.5,Sometimes,0,Public_Transportation
30,130.0,Sometimes,1,Public_Transportation
21,147.3,Sometimes,1,Public_Transportation
24,113.3,Sometimes,0,Public_Transportation
29,71.2,Sometimes,1,Automobile
23,90.0,Sometimes,0,Public_Transportation
29,49.5,Frequently,0,Public_Transportation
25,96.0,Sometimes,1,Public_Transportation
21,75.0,Sometimes,1,Public_Transportation
20,105.7,Sometimes,0,Public_Transportation
26,80.0,Sometimes,2,Public_Transportation
34,96.0,Sometimes,1,Automobile
18,87.0,Sometimes,1,Public_Transportation
18,80.0,Sometimes,3,Walking
25,115.3,Sometimes,1,Public_Transportation
22,80.0,Sometimes,0,Public_Transportation
21,50.5,Frequently,0,Public_Transportation
21,80.0,Sometimes,2,Public_Transportation
23,105.1,Sometimes,0,Public_Transportation
20,40.3,Sometimes,0,Public_Transportation
21,49.0,Sometimes,2,Public_Transportation
24,117.7,Sometimes,1,Public_Transportation
33,113.0,Always,1,Automobile
26,78.6,Sometimes,0,Public_Transportation
26,105.4,Sometimes,0,Public_Transportation
18,90.7,Sometimes,0,Public_Transportation
20,80.0,Sometimes,1,Public_Transportation
18,54.1,Sometimes,1,Public_Transportation
21,75.1,Sometimes,0,Public_Transportation
23,121.1,Sometimes,0,Public_Transportation
19,49.0,Sometimes,2,Public_Transportation
20,102.9,Sometimes,1,Public_Transportation
17,59.9,Sometimes,2,Automobile
25,121.3,Sometimes,1,Public_Transportation
20,79.5,Sometimes,2,Public_Transportation
21,44.8,Frequently,1,Public_Transportation
18,53.0,Frequently,1,Public_Transportation
19,79.5,Sometimes,1,Public_Transportation
18,48.0,Always,1,Public_Transportation
17,83.3,Sometimes,1,Public_Transportation
20,63.2,Sometimes,1,Automobile
38,60.0,Always,0,Automobile
22,120.8,Sometimes,1,Public_Transportation
37,77.0,Sometimes,0,Automobile
20,41.6,Frequently,0,Public_Transportation
30,129.9,Sometimes,0,Public_Transportation
26,102.0,Sometimes,0,Public_Transportation
36,62.3,Sometimes,0,Automobile
25,105.0,Sometimes,0,Public_Transportation
29,90.0,Sometimes,1,Automobile
30,120.8,Sometimes,0,Automobile
16,65.0,Sometimes,0,Public_Transportation
27,75.0,Sometimes,1,Walking
21,95.6,Sometimes,0,Public_Transportation
20,125.0,Always,1,Public_Transportation
23,80.4,Sometimes,0,Public_Transportation
25,55.0,Sometimes,2,Public_Transportation
43,86.9,Sometimes,0,Automobile
18,56.0,Frequently,1,Public_Transportation
39,101.8,Sometimes,2,Automobile
18,151.3,Sometimes,1,Public_Transportation
21,118.2,Sometimes,0,Public_Transportation
18,110.0,Sometimes,1,Public_Transportation
18,70.0,Sometimes,0,Public_Transportation
25,112.2,Sometimes,1,Public_Transportation
21,49.9,Frequently,0,Public_Transportation
21,60.0,Frequently,0,Motorbike
25,113.2,Sometimes,1,Public_Transportation
24,100.0,Sometimes,1,Public_Transportation
20,65.0,Sometimes,0,Public_Transportation
26,111.9,Sometimes,0,Public_Transportation
19,56.3,Sometimes,2,Automobile
26,111.9,Sometimes,0,Public_Transportation
26,111.9,Sometimes,0,Public_Transportation
29,108.7,Sometimes,1,Automobile
19,85.1,Sometimes,2,Public_Transportation
33,74.8,Sometimes,0,Automobile
23,83.1,Sometimes,1,Public_Transportation
19,82.9,Sometimes,0,Public_Transportation
31,110.7,Sometimes,0,Automobile
24,95.9,Sometimes,0,Public_Transportation
21,80.0,Sometimes,0,Public_Transportation
23,84.3,Sometimes,2,Public_Transportation
21,70.0,Never,1,Public_Transportation
26,120.0,Sometimes,0,Public_Transportation
19,42.0,Frequently,1,Public_Transportation
26,119.8,Sometimes,0,Public_Transportation
22,95.3,Sometimes,2,Public_Transportation
22,44.9,Frequently,1,Public_Transportation
20,74.4,Sometimes,2,Public_Transportation
18,50.9,Sometimes,0,Public_Transportation
19,89.0,Sometimes,0,Public_Transportation
29,93.8,Sometimes,1,Public_Transportation
20,72.0,Sometimes,2,Public_Transportation
21,80.0,Never,2,Public_Transportation
33,84.0,Sometimes,0,Automobile
19,49.8,Sometimes,2,Public_Transportation
26,110.8,Sometimes,0,Public_Transportation
19,49.7,Frequently,2,Public_Transportation
22,89.9,Sometimes,0,Public_Transportation
22,121.8,Sometimes,0,Public_Transportation
26,104.9,Sometimes,0,Public_Transportation
17,50.0,Sometimes,0,Public_Transportation
26,110.8,Sometimes,0,Public_Transportation
50,82.1,Sometimes,0,Automobile
24,112.8,Sometimes,0,Public_Transportation
29,112.4,Sometimes,0,Automobile
25,115.8,Sometimes,1,Public_Transportation
23,60.0,Sometimes,1,Public_Transportation
18,53.0,Sometimes,0,Public_Transportation
22,66.4,Frequently,0,Public_Transportation
34,84.8,Sometimes,2,Automobile
17,83.2,Sometimes,1,Public_Transportation
17,57.3,Sometimes,0,Public_Transportation
22,52.0,Frequently,0,Public_Transportation
25,105.0,Sometimes,0,Public_Transportation
18,84.2,Sometimes,1,Public_Transportation
35,102.3,Sometimes,2,Automobile
21,125.0,Always,0,Public_Transportation
30,102.9,Sometimes,2,Automobile
21,135.3,Sometimes,1,Public_Transportation
25,102.1,Sometimes,0,Public_Transportation
21,89.1,Sometimes,0,Public_Transportation
26,111.9,Sometimes,0,Public_Transportation
18,53.0,Sometimes,1,Public_Transportation
21,130.9,Sometimes,1,Public_Transportation
25,105.0,Sometimes,0,Public_Transportation
