BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by COMPASS;Townhouse for sale;2600000;5;5.0;4057.0;65 Gates Ave;Brooklyn, NY 11238;65 Gates AveBrooklyn, NY 11238;United States;New York;Kings County;Brooklyn;Gates Avenue;65 Gates Ave, Brooklyn, NY 11238, USA;40.6846326;-73.9660028
Brokered by Wolf Properties Inc;Pending;2500000;3;;2184.207862;30 Village Rd N;Brooklyn, NY 11223;30 Village Rd NBrooklyn, NY 11223;United States;;Kings County;Brooklyn;Village Road South;30 Village Rd S, Brooklyn, NY 11223, USA;40.5938803;-73.9743763
Brokered by East Coast Realty Partners;Co-op for sale;220000;1;1.0;2184.207862;6565 Wetherole St Apt 4O;Rego Park, NY 11374;6565 Wetherole St Apt 4ORego Park, NY 11374;New York;Queens County;Queens;Rego Park;65-65;65-65 Wetherole St #4o, Rego Park, NY 11374, USA;40.725937;-73.8572908
Brokered by Charles H. Greenthal Property;Co-op for sale;489000;2;2.0;1549.0;26910 Grand Central Pkwy Apt 27G;Floral Park, NY 11005;26910 Grand Central Pkwy Apt 27GFloral Park, NY 11005;New York;Queens County;Queens;Glen Oaks;26910;26910 Grand Central Pkwy #27g, Queens, NY 11005, USA;;
Brokered by BERGEN BASIN REALTY;Multi-family home for sale;1288000;5;2.0;2375.0;1853 Benson Ave;Brooklyn, NY 11214;1853 Benson AveBrooklyn, NY 11214;United States;New York;Kings County;Brooklyn;Benson Avenue;1853 Benson Ave, Brooklyn, NY 11214, USA;40.6042803;-74.0030547
Brokered by COMPASS;Condo for sale;200000;2;3.0;1260.0;2 E 55th St Unit 1136W15;Manhattan, NY 10022;2 E 55th St Unit 1136W15Manhattan, NY 10022;United States;New York;New York County;New York;East 55th Street;2 E 55th St, New York, NY 10022, USA;40.7613979;-73.9746128
Brokered by Prime Realty;House for sale;625000;3;1.0;2184.207862;64-01 Pleasantview St;Middle Village, NY 11379;64-01 Pleasantview StMiddle Village, NY 11379;United States;New York;Queens County;Queens;Pleasantview Street;64-01 Pleasantview St, Flushing, NY 11379, USA;40.7158932;-73.8820836
Brokered by Elegran Real Estate And Development;Condo for sale;2245000;2;3.0;1724.0;171 E 84th St Apt 3B;New York, NY 10028;171 E 84th St Apt 3BNew York, NY 10028;New York;New York County;New York;Manhattan;171;171 E 84th St #3b, New York, NY 10028, USA;40.7779756;-73.9551546
Brokered by Douglas Elliman - Syosset;House for sale;899000;3;2.0;2184.207862;163-43 90th St;Howard Beach, NY 11414;163-43 90th StHoward Beach, NY 11414;United States;;Queens County;Queens;90th Street;163-43 90th St, Jamaica, NY 11414, USA;40.6511946;-73.8405509
Brokered by COMPASS;Townhouse for sale;575000;4;2.0;1330.0;411 Montauk Ave;Brooklyn, NY 11208;411 Montauk AveBrooklyn, NY 11208;United States;;Kings County;Brooklyn;Montauk Avenue;411 Montauk Ave., Brooklyn, NY 11208, USA;40.6683511;-73.8757315
